chain,ip,manual,old_city,old_country,new_city,new_country,confidence,distance_km,completed,globalping_id,reasons
ton,64.130.41.220,False,Frankfurt,Germany,Frankfurt,Germany,approximate,0.0,True,,
ton,64.130.41.223,False,Frankfurt,Germany,Frankfurt,Germany,approximate,0.0,True,,
ton,64.130.41.227,False,Frankfurt,Germany,Frankfurt,Germany,approximate,0.0,True,,
ton,64.130.43.114,False,Amsterdam,Netherlands,Amsterdam,Netherlands,approximate,0.0,True,,
ton,64.130.43.119,False,Amsterdam,Netherlands,Amsterdam,Netherlands,approximate,0.0,True,,
ton,64.130.43.121,False,Amsterdam,Netherlands,Amsterdam,Netherlands,approximate,0.0,True,,
ton,64.130.43.122,False,Amsterdam,Netherlands,Amsterdam,Netherlands,approximate,0.0,True,,
ton,64.130.43.123,False,Amsterdam,Netherlands,Amsterdam,Netherlands,approximate,0.0,True,,
ton,64.130.43.124,False,Amsterdam,Netherlands,Amsterdam,Netherlands,approximate,0.0,True,,
ton,64.130.43.125,False,Amsterdam,Netherlands,Amsterdam,Netherlands,approximate,0.0,True,,
ton,64.130.43.147,False,Amsterdam,Netherlands,Amsterdam,Netherlands,approximate,0.0,True,,
ton,64.130.47.100,False,Frankfurt,Germany,Frankfurt,Germany,approximate,0.0,True,,
ton,64.130.47.102,False,Frankfurt,Germany,Frankfurt,Germany,approximate,0.0,True,,
ton,64.130.47.179,False,Frankfurt,Germany,Frankfurt,Germany,approximate,0.0,True,,
ton,64.130.47.181,False,Frankfurt,Germany,Frankfurt,Germany,approximate,0.0,True,,
ton,64.130.55.21,False,Amsterdam,Netherlands,Amsterdam,Netherlands,approximate,0.0,True,,
ton,64.130.56.37,False,Pittsburgh,United States,Pittsburgh,United States,approximate,0.0,True,,
ton,64.130.56.82,False,Pittsburgh,United States,Pittsburgh,United States,approximate,0.0,True,,
ton,64.130.58.165,False,Los Angeles,United States,Los Angeles,United States,approximate,0.0,True,,
ton,64.130.58.166,False,Los Angeles,United States,Los Angeles,United States,approximate,0.0,True,,
ton,64.130.58.167,False,Los Angeles,United States,Los Angeles,United States,approximate,0.0,True,,
ton,64.130.58.168,False,Los Angeles,United States,Los Angeles,United States,approximate,0.0,True,,
ton,64.130.58.169,False,Los Angeles,United States,Los Angeles,United States,approximate,0.0,True,,
ton,64.130.58.172,False,Los Angeles,United States,Los Angeles,United States,approximate,0.0,True,,
ton,64.130.58.173,False,Los Angeles,United States,Los Angeles,United States,approximate,0.0,True,,
